Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
15336,55,15281,47358,99,47259,"DT, d=None, s=6, f=None",n,96,18,47241,3,1.0,0.842,0.97,0.901
15336,55,15281,47358,99,47259,"DT, d=None, s=6, f=None","a, n, sinI",93,5,47254,6,1.0,0.949,0.939,0.944
15336,55,15281,47358,99,47259,"DT, d=None, s=6, f=None","a, sinI",95,11,47248,4,1.0,0.896,0.96,0.927
15336,55,15281,47358,99,47259,"DT, d=None, s=7, f=sqrt",n,96,18,47241,3,1.0,0.842,0.97,0.901
15336,55,15281,47358,99,47259,"DT, d=None, s=7, f=sqrt","a, n, sinI",93,5,47254,6,1.0,0.949,0.939,0.944
15336,55,15281,47358,99,47259,"DT, d=None, s=7, f=sqrt","a, sinI",95,11,47248,4,1.0,0.896,0.96,0.927
15336,55,15281,47358,99,47259,"DT, d=None, s=7, f=log2",n,96,18,47241,3,1.0,0.842,0.97,0.901
15336,55,15281,47358,99,47259,"DT, d=None, s=7, f=log2","a, n, sinI",93,5,47254,6,1.0,0.949,0.939,0.944
15336,55,15281,47358,99,47259,"DT, d=None, s=7, f=log2","a, sinI",95,11,47248,4,1.0,0.896,0.96,0.927
15336,55,15281,47358,99,47259,"DT, d=None, s=7, f=None",n,96,18,47241,3,1.0,0.842,0.97,0.901
15336,55,15281,47358,99,47259,"DT, d=None, s=7, f=None","a, n, sinI",93,5,47254,6,1.0,0.949,0.939,0.944
15336,55,15281,47358,99,47259,"DT, d=None, s=7, f=None","a, sinI",95,11,47248,4,1.0,0.896,0.96,0.927
15336,55,15281,47358,99,47259,"DT, d=None, s=8, f=sqrt",n,96,18,47241,3,1.0,0.842,0.97,0.901
15336,55,15281,47358,99,47259,"DT, d=None, s=8, f=sqrt","a, n, sinI",97,18,47241,2,1.0,0.843,0.98,0.907
15336,55,15281,47358,99,47259,"DT, d=None, s=8, f=sqrt","a, sinI",95,11,47248,4,1.0,0.896,0.96,0.927
15336,55,15281,47358,99,47259,"DT, d=None, s=8, f=log2",n,96,18,47241,3,1.0,0.842,0.97,0.901
15336,55,15281,47358,99,47259,"DT, d=None, s=8, f=log2","a, n, sinI",97,18,47241,2,1.0,0.843,0.98,0.907
15336,55,15281,47358,99,47259,"DT, d=None, s=8, f=log2","a, sinI",95,11,47248,4,1.0,0.896,0.96,0.927
15336,55,15281,47358,99,47259,"DT, d=None, s=8, f=None",n,96,18,47241,3,1.0,0.842,0.97,0.901
15336,55,15281,47358,99,47259,"DT, d=None, s=8, f=None","a, n, sinI",97,18,47241,2,1.0,0.843,0.98,0.907
15336,55,15281,47358,99,47259,"DT, d=None, s=8, f=None","a, sinI",95,11,47248,4,1.0,0.896,0.96,0.927
15336,55,15281,47358,99,47259,"DT, d=None, s=9, f=sqrt",n,96,18,47241,3,1.0,0.842,0.97,0.901
15336,55,15281,47358,99,47259,"DT, d=None, s=9, f=sqrt","a, n, sinI",97,18,47241,2,1.0,0.843,0.98,0.907
15336,55,15281,47358,99,47259,"DT, d=None, s=9, f=sqrt","a, sinI",95,11,47248,4,1.0,0.896,0.96,0.927
15336,55,15281,47358,99,47259,"DT, d=None, s=9, f=log2",n,96,18,47241,3,1.0,0.842,0.97,0.901
15336,55,15281,47358,99,47259,"DT, d=None, s=9, f=log2","a, n, sinI",97,18,47241,2,1.0,0.843,0.98,0.907
15336,55,15281,47358,99,47259,"DT, d=None, s=9, f=log2","a, sinI",95,11,47248,4,1.0,0.896,0.96,0.927
15336,55,15281,47358,99,47259,"DT, d=None, s=9, f=None",n,96,18,47241,3,1.0,0.842,0.97,0.901
15336,55,15281,47358,99,47259,"DT, d=None, s=9, f=None","a, n, sinI",97,18,47241,2,1.0,0.843,0.98,0.907
